id,name,latitude,longitude,date,category,layer_group,description,confidence,sources,notes
1,Wuhan Institute of Virology (WIV),30.3764,114.2625,2018-01-01 00:00:00,Lab,COVID Core,Premier Chinese SARS-related coronavirus research center. BSL-4 facility. Extensive bat CoV work including RaTG13 and chimeric constructs under EcoHealth collaboration.,High,"Peer-reviewed papers, grant reports, ODNI, facilities card",Main campus
2,Huanan Seafood Wholesale Market,30.6196,114.2576,2019-12-01 00:00:00,Market,COVID Core,Early COVID-19 cases clustered here. Environmental samples positive. Live mammals sold.,High,"Chinese CDC, Worobey et al. 2022",Closed Jan 2020
3,EcoHealth Alliance HQ (New York),40.7580,-73.9855,2014-06-01 00:00:00,Organization,COVID Core,Received NIH grants and subawarded to WIV. Peter Daszak president. Later debarred by HHS 2025.,High,"NIH records, HHS debarment",NYC HQ
4,NIH / NIAID (Bethesda MD),39.0028,-77.1031,2014-06-01 00:00:00,Government,COVID Core,Primary U.S. funder of EcoHealth bat-coronavirus work under Fauci. Central to GOF definitional dispute (C-03).,High,"NIH RePORTER, C-03",Bethesda campus
5,Early case cluster center (Wuhan),30.5950,114.2700,2019-12-15 00:00:00,Event,COVID Core,Geographic center of earliest confirmed cases in Dec 2019.,High,Worobey et al.,Representative point
6,Wellcome Trust (London),51.5236,-0.1448,2020-02-01 00:00:00,Organization,COVID Core,Jeremy Farrar (Director) in early Feb 2020 origins calls that preceded Proximal Origin and Lancet letter.,High,"Fauci diary, FOIA",London HQ
7,Proximal Origin / Andersen (Scripps),32.8950,-117.2400,2020-02-01 00:00:00,Event,COVID Core,Andersen et al. Proximal Origin paper. Private talks showed higher lab-origin probability than public framing (C-02).,High,"FOIA, Nature Medicine, C-02",La Jolla proxy
8,CIA Headquarters (Langley VA),38.9517,-77.1467,2010-01-01 00:00:00,Intelligence,Intelligence / 51-Letter,"CIA HQ. Relevant to Morell, Brennan and other 51-letter figures.",High,Public records,Langley
9,U.S. Capitol / Senate (Fauci testimony),38.8899,-77.0091,2021-05-11 00:00:00,Government,Intelligence / 51-Letter,May 2021 Senate testimony where Fauci stated NIH never funded GOF at WIV (C-03).,High,"Senate transcripts, C-03",Capitol Hill
10,White House / Executive,38.8977,-77.0365,2020-03-01 00:00:00,Government,Intelligence / 51-Letter,Fauci public role and Jan 2025 preemptive pardon location.,High,Public records,White House
11,Council on Foreign Relations (New York),40.7489,-73.9810,1921-01-01 00:00:00,Organization,Elite Networking,Major U.S. foreign-policy establishment forum.,High,CFR records,NY HQ
12,Bilderberg (recurring European venues),52.0907,5.1214,1954-01-01 00:00:00,Organization,Elite Networking,Annual invitation-only conference of political and business elites.,High,Public coverage,Utrecht proxy for European venues
13,Bohemian Grove (Monte Rio CA),38.4520,-123.0200,1878-01-01 00:00:00,Organization,Elite Networking,Private club retreat for elite networking.,High,Public reporting,Monte Rio
14,Trilateral Commission,40.7580,-73.9855,1973-01-01 00:00:00,Organization,Elite Networking,North America-Europe-Asia elite policy forum.,High,Trilateral records,NY proxy
15,Atlantic Council (Washington DC),38.9047,-77.0369,1961-01-01 00:00:00,Organization,Elite Networking,Atlanticist think tank. Michael Morell on board.,High,Atlantic Council,DC HQ
16,Chatham House (London),51.5074,-0.1478,1920-01-01 00:00:00,Organization,Elite Networking,Royal Institute of International Affairs.,High,Chatham House,London
17,World Economic Forum (Davos),46.8027,9.8360,1971-01-01 00:00:00,Organization,Elite Networking,Annual Davos meeting. Major global elite forum.,High,WEF records,Davos proxy
18,San Francisco (Pelosi / Newsom base),37.7749,-122.4194,1987-01-01 00:00:00,City,Political Base,Long-time political base for Pelosi and Newsom.,High,Public bios,City proxy
19,CNN / Jake Tapper context,38.9000,-77.0400,2020-06-01 00:00:00,Media,Political Base,Fauci diary records dinners and communications with Tapper.,Medium,Fauci diary 2026,DC media proxy
20,USAMRIID / Fort Detrick,39.4380,-77.4234,1969-01-01 00:00:00,Lab,High-Containment Labs,U.S. Army BSL-4. Primary U.S. military comparative node to WIV. Defensive biodefense mission; Amerithrax role; 2019 CDC select-agent suspension.,High,"Facilities card, public records","Frederick, MD"
21,NIAID IRF-Frederick (Fort Detrick),39.4400,-77.4200,2013-01-01 00:00:00,Lab,High-Containment Labs,NIAID Integrated Research Facility at Fort Detrick. BSL-2/3/4. Part of intramural high-containment cluster; 2025 safety stand-down noted.,High,"Facilities card, NIAID",Same campus cluster as USAMRIID
22,Galveston National Laboratory (UTMB),29.3105,-94.7750,2008-01-01 00:00:00,Lab,High-Containment Labs,"NIAID National Biocontainment Laboratory. BSL-4. Documented formal collaboration, training, and MoU with WIV including memory-hole provision.",High,"Facilities card, UTMB","Galveston, TX"
23,NEIDL (Boston University),42.3365,-71.0725,2017-01-01 00:00:00,Lab,High-Containment Labs,National Emerging Infectious Diseases Laboratories. Second NIAID NBL. BSL-4 approved 2017.,High,"Facilities card, BU",Boston Medical Campus
24,CDC Atlanta High-Containment Labs,33.7990,-84.3280,1988-01-01 00:00:00,Lab,High-Containment Labs,CDC Roybal Campus high-containment facilities. Key U.S. public-health BSL-3/4 capacity.,High,"Facilities card, CDC","Atlanta, GA"
25,Rocky Mountain Laboratories (RML),46.2374,-114.1599,1928-01-01 00:00:00,Lab,High-Containment Labs,"NIAID intramural BSL-4 facility in Hamilton, MT. Part of NIAID high-containment cluster with IRF-Frederick and Bethesda.",High,"Facilities card, NIAID","Hamilton, Montana"
